"","Trinta","Sessenta","Cento_e_vinte","log30","log60","log120","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","Data","Dispersas"
"40",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C10","N","N",6.8,0,0,0,"N",2017-08-15,FALSE
"41",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C2","P","N",16.8,0,0,0,"N",2017-08-15,FALSE
"42",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C3","P","N",7.9,0,0,0,"N",2017-08-15,FALSE
"43",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C5","P","N",19.1,0,0,0,"N",2017-08-15,FALSE
"44",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C6","N","S",37,20,0,0,"N",2017-08-15,FALSE
"45",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C7","P","N",6.8,0,0,0,"N",2017-08-15,FALSE
"46",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C8","P","N",6.8,0,0,0,"N",2017-08-15,FALSE
"47",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C9","P","N",6.8,0,0,0,"N",2017-08-15,FALSE
"48",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C1","D","N",0.9,0,0,0,"N",2017-08-15,TRUE
"49",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C10","D","N",5.9,0,0,0,"N",2017-08-15,TRUE
"50",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C2","D","N",1.1,0,0,0,"N",2017-08-15,TRUE
"51",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C3","D","N",35.9,2,0,0,"N",2017-08-15,TRUE
"52",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C4","D","N",2.7,0,0,0,"N",2017-08-15,TRUE
"53",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C5","D","S",18,0,0,0,"N",2017-08-15,TRUE
"54",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C6","N","N",0,0,0,0,"N",2017-08-15,FALSE
"55",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C8","P","N",0,0,0,0,"S",2017-08-15,FALSE
"56",73,65,53,4.30406509320417,4.18965474202643,3.98898404656427,"AFV08","Cercado","C1","P","N",10.1,5.5,0,0,"N",2017-08-15,FALSE
"57",73,65,53,4.30406509320417,4.18965474202643,3.98898404656427,"AFV08","Cercado","C10","P","N",5.9,0,0,0,"N",2017-08-15,FALSE
"58",73,65,53,4.30406509320417,4.18965474202643,3.98898404656427,"AFV08","Cercado","C2","P","S",57.4,0,0,0,"N",2017-08-15,FALSE
"59",73,65,53,4.30406509320417,4.18965474202643,3.98898404656427,"AFV08","Cercado","C3","P","N",25.2,0,0,0,"N",2017-08-15,FALSE
"60",73,65,53,4.30406509320417,4.18965474202643,3.98898404656427,"AFV08","Cercado","C4","P","N",7.9,0,0,0,"N",2017-08-15,FALSE
"61",73,65,53,4.30406509320417,4.18965474202643,3.98898404656427,"AFV08","Cercado","C6","P","N",5.9,0,0,0,"N",2017-08-15,FALSE
"62",73,65,53,4.30406509320417,4.18965474202643,3.98898404656427,"AFV08","Cercado","C7","P","N",11.7,0,0,0,"N",2017-08-15,FALSE
"63",73,65,53,4.30406509320417,4.18965474202643,3.98898404656427,"AFV08","Cercado","C8","P","N",9,0,0,0,"N",2017-08-15,FALSE
"64",73,65,53,4.30406509320417,4.18965474202643,3.98898404656427,"AFV08","Cercado","C9","P","N",6.1,0,0,0,"N",2017-08-15,FALSE
"65",41,37,36,3.73766961828337,3.63758615972639,3.61091791264422,"AFV09","Cercado Acima","C1","P","N",10.1,0,0,0,"N",2017-08-15,FALSE
"66",41,37,36,3.73766961828337,3.63758615972639,3.61091791264422,"AFV09","Cercado Acima","C3","P","N",7.2,0,0,0,"N",2017-08-15,FALSE
