"","X.1","X","Trinta","Sessenta","Cento_e_vinte","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","Data","Removidas"
"55",55,55,21.33,18.96,18.96,"AFV07","Lago das Fadas","C4","D","N",2.7,0,0,0,"N","15/08/2017",TRUE
"56",56,56,21.33,18.96,18.96,"AFV07","Lago das Fadas","C5","D","S",18,0,0,0,"N","15/08/2017",TRUE
"57",57,57,21.33,18.96,18.96,"AFV07","Lago das Fadas","C6","N","N",0,0,0,0,"N","15/08/2017",FALSE
"58",58,58,21.33,18.96,18.96,"AFV07","Lago das Fadas","C7","S","N",0,0,0,0,"N","15/08/2017",TRUE
"59",59,59,21.33,18.96,18.96,"AFV07","Lago das Fadas","C8","P","N",0,0,0,0,"S","15/08/2017",TRUE
"60",60,60,21.33,18.96,18.96,"AFV07","Lago das Fadas","C9","S","N",12.9,0,0,0,"N","15/08/2017",TRUE
"61",61,61,73,65,53,"AFV08","Cercado","C1","P","N",10.1,5.5,0,0,"N","15/08/2017",TRUE
"62",62,62,73,65,53,"AFV08","Cercado","C10","P","N",5.9,0,0,0,"N","15/08/2017",TRUE
"63",63,63,73,65,53,"AFV08","Cercado","C2","P","S",57.4,0,0,0,"N","15/08/2017",TRUE
"64",64,64,73,65,53,"AFV08","Cercado","C3","P","N",25.2,0,0,0,"N","15/08/2017",TRUE
"65",65,65,73,65,53,"AFV08","Cercado","C4","P","N",7.9,0,0,0,"N","15/08/2017",TRUE
"66",66,66,73,65,53,"AFV08","Cercado","C5","S","N",22.8,0,0,0,"N","15/08/2017",TRUE
"67",67,67,73,65,53,"AFV08","Cercado","C6","P","N",5.9,0,0,0,"N","15/08/2017",TRUE
"68",68,68,73,65,53,"AFV08","Cercado","C7","P","N",11.7,0,0,0,"N","15/08/2017",TRUE
"69",69,69,73,65,53,"AFV08","Cercado","C8","P","N",9,0,0,0,"N","15/08/2017",TRUE
"70",70,70,73,65,53,"AFV08","Cercado","C9","P","N",6.1,0,0,0,"N","15/08/2017",TRUE
"71",71,71,41,37,36,"AFV09","Cercado Acima","C1","P","N",10.1,0,0,0,"N","15/08/2017",TRUE
"72",72,72,41,37,36,"AFV09","Cercado Acima","C10","S","N",12.4,0,0,0,"N","15/08/2017",TRUE
"73",73,73,41,37,36,"AFV09","Cercado Acima","C2","S","S",11.5,0,0,0,"N","15/08/2017",TRUE
"74",74,74,41,37,36,"AFV09","Cercado Acima","C3","P","N",7.2,0,0,0,"N","15/08/2017",TRUE
"75",75,75,41,37,36,"AFV09","Cercado Acima","C4","S","N",8,0,0,0,"N","15/08/2017",TRUE
"76",76,76,41,37,36,"AFV09","Cercado Acima","C5","P","N",23.9,0,0,0,"N","15/08/2017",TRUE
"77",77,77,41,37,36,"AFV09","Cercado Acima","C6","S","N",0,0,0,0,"N","15/08/2017",TRUE
"78",78,78,41,37,36,"AFV09","Cercado Acima","C7","S","N",41.8,0,0,0,"N","15/08/2017",TRUE
"79",79,79,41,37,36,"AFV09","Cercado Acima","C8","S","N",0,0,0,0,"N","15/08/2017",TRUE
"80",80,80,41,37,36,"AFV09","Cercado Acima","C9","P","N",31.7,20,8,0,"N","15/08/2017",TRUE
"81",81,81,38,37,34,"AFV10a","Banheira","C1","S","N",0.6,0,0,0,"N","15/08/2017",TRUE
"82",82,82,38,37,34,"AFV10a","Banheira","C10","P","N",12.4,0,0,0,"N","15/08/2017",TRUE
"83",83,83,38,37,34,"AFV10a","Banheira","C2","S","N",2.3,0,0,0,"N","15/08/2017",TRUE
"84",84,84,38,37,34,"AFV10a","Banheira","C3","P","N",12.4,0,0,0,"N","15/08/2017",TRUE
"85",85,85,38,37,34,"AFV10a","Banheira","C4","S","N",10.1,0,0,0,"N","15/08/2017",TRUE
"86",86,86,38,37,34,"AFV10a","Banheira","C5","P","N",7.2,0,0,0,"N","15/08/2017",TRUE
"87",87,87,38,37,34,"AFV10a","Banheira","C6","P","N",12.4,0,0,0,"N","15/08/2017",TRUE
"88",88,88,38,37,34,"AFV10a","Banheira","C7","S","N",14.6,0,0,0,"N","15/08/2017",TRUE
"89",89,89,38,37,34,"AFV10a","Banheira","C8","S","N",9,0,0,0,"N","15/08/2017",TRUE
"90",90,90,38,37,34,"AFV10a","Banheira","C9","P","N",12.4,0,0,0,"N","15/08/2017",TRUE
"91",91,91,11.85,10.67,10.67,"AFV11","Casa do Pesquisador","C1","S","S",17,0,0,0,"N","15/08/2017",TRUE
"92",92,92,11.85,10.67,10.67,"AFV11","Casa do Pesquisador","C10","D","S",15.7,12,0,0,"N","15/08/2017",TRUE
"93",93,93,11.85,10.67,10.67,"AFV11","Casa do Pesquisador","C2","S","S",23.6,0,0,0,"N","15/08/2017",TRUE
"94",94,94,11.85,10.67,10.67,"AFV11","Casa do Pesquisador","C3","N","N",0,0,0,0,"N","15/08/2017",FALSE
"95",95,95,11.85,10.67,10.67,"AFV11","Casa do Pesquisador","C4","S","N",11.5,2,0,0,"N","15/08/2017",TRUE
"96",96,96,11.85,10.67,10.67,"AFV11","Casa do Pesquisador","C5","S","N",11.8,0,0,0,"N","15/08/2017",TRUE
"97",97,97,11.85,10.67,10.67,"AFV11","Casa do Pesquisador","C6","D","S",47.4,0,0,0,"N","15/08/2017",TRUE
"98",98,98,11.85,10.67,10.67,"AFV11","Casa do Pesquisador","C7","D","S",8.7,0,0,0,"N","15/08/2017",TRUE
"99",99,99,11.85,10.67,10.67,"AFV11","Casa do Pesquisador","C8","P","S",16.8,6,0,0,"N","15/08/2017",TRUE
"100",100,100,11.85,10.67,10.67,"AFV11","Casa do Pesquisador","C9","D","S",30.3,14,16,0,"N","15/08/2017",TRUE
"101",101,101,40,38,35,"AFV12","Anathema","C1","P","S",13.5,2,0,0,"N","15/08/2017",TRUE
"102",102,102,40,38,35,"AFV12","Anathema","C10","P","N",13.5,3.5,0,0,"N","15/08/2017",TRUE
"103",103,103,40,38,35,"AFV12","Anathema","C2","P","N",28,4,2,1,"N","15/08/2017",TRUE
"104",104,104,40,38,35,"AFV12","Anathema","C3","P","S",26,0,0,0,"N","15/08/2017",TRUE
"105",105,105,40,38,35,"AFV12","Anathema","C4","S","S",4,0,0,0,"N","15/08/2017",TRUE
"106",106,106,40,38,35,"AFV12","Anathema","C5","S","N",9.2,5.5,0,0,"N","15/08/2017",TRUE
"107",107,107,40,38,35,"AFV12","Anathema","C6","P","N",14.6,2,0,0,"N","15/08/2017",TRUE
"108",108,108,40,38,35,"AFV12","Anathema","C7","P","S",8.8,0,0,0,"N","15/08/2017",TRUE
"109",109,109,40,38,35,"AFV12","Anathema","C8","P","N",3.4,0.8,0.5,0,"N","15/08/2017",TRUE
"110",110,110,40,38,35,"AFV12","Anathema","C9","P","N",7.9,0.3,0,0,"N","15/08/2017",TRUE
"111",111,111,69,62,55,"AFV13","Centro de Visitantes","C1","P","N",0,0,0,0,"N","15/08/2017",TRUE
"112",112,112,69,62,55,"AFV13","Centro de Visitantes","C10","S","N",12.4,0,0,0,"N","15/08/2017",TRUE
"113",113,113,69,62,55,"AFV13","Centro de Visitantes","C2","S","S",23.6,3,0,0,"N","15/08/2017",TRUE
"114",114,114,69,62,55,"AFV13","Centro de Visitantes","C3","S","N",10.1,0,0,0,"N","15/08/2017",TRUE
"115",115,115,69,62,55,"AFV13","Centro de Visitantes","C4","S","N",28,0,0,0,"N","15/08/2017",TRUE
"116",116,116,69,62,55,"AFV13","Centro de Visitantes","C5","P","N",0,0,0,0,"N","15/08/2017",TRUE
"117",117,117,69,62,55,"AFV13","Centro de Visitantes","C6","S","N",30.3,0,0,0,"N","15/08/2017",TRUE
"118",118,118,69,62,55,"AFV13","Centro de Visitantes","C7","P","N",0,0,0,0,"N","15/08/2017",TRUE
"119",119,119,69,62,55,"AFV13","Centro de Visitantes","C8","S","N",9,0,0,0,"N","15/08/2017",TRUE
"120",120,120,69,62,55,"AFV13","Centro de Visitantes","C9","S","N",12.4,0,0,0,"N","15/08/2017",TRUE
"121",121,121,37,34,32,"AFV14","Capela","C1","S","S",44.8,16.7,0,0,"N","15/08/2017",TRUE
"122",122,122,37,34,32,"AFV14","Capela","C10","S","N",0,0,0,0,"N","15/08/2017",TRUE
"123",123,123,37,34,32,"AFV14","Capela","C2","S","N",21.3,0,0,0,"N","15/08/2017",TRUE
"124",124,124,37,34,32,"AFV14","Capela","C3","S","N",20.2,0,0,0,"N","15/08/2017",TRUE
"125",125,125,37,34,32,"AFV14","Capela","C4","S","N",15.7,0,0,0,"N","15/08/2017",TRUE
"126",126,126,37,34,32,"AFV14","Capela","C5","S","N",0,0,0,0,"N","15/08/2017",TRUE
"127",127,127,37,34,32,"AFV14","Capela","C6","S","N",0,0,0,0,"N","15/08/2017",TRUE
"128",128,128,37,34,32,"AFV14","Capela","C7","S","N",0,0,0,0,"N","15/08/2017",TRUE
"129",129,129,37,34,32,"AFV14","Capela","C8","S","N",0,0,0,0,"N","15/08/2017",TRUE
"130",130,130,37,34,32,"AFV14","Capela","C9","S","N",0,0,0,0,"N","15/08/2017",TRUE
"131",131,131,16.22,16.22,12,"AFV15","Cova da onca","C1","S","S",3.7,0,0,0,"N","15/08/2017",TRUE
"132",132,132,16.22,16.22,12,"AFV15","Cova da onca","C10","P","N",18.3,0,0,0,"N","15/08/2017",TRUE
"133",133,133,16.22,16.22,12,"AFV15","Cova da onca","C2","P","N",10.6,0,0,0,"N","15/08/2017",TRUE
"134",134,134,16.22,16.22,12,"AFV15","Cova da onca","C3","S","S",19.1,0,0,0,"N","15/08/2017",TRUE
"135",135,135,16.22,16.22,12,"AFV15","Cova da onca","C4","S","N",10.5,0,0,0,"N","15/08/2017",TRUE
"136",136,136,16.22,16.22,12,"AFV15","Cova da onca","C5","S","N",31.5,0,0,0,"N","15/08/2017",TRUE
"137",137,137,16.22,16.22,12,"AFV15","Cova da onca","C6","S","S",18.1,0,0,0,"N","15/08/2017",TRUE
"138",138,138,16.22,16.22,12,"AFV15","Cova da onca","C7","P","N",2.8,0,0,0,"N","15/08/2017",TRUE
"139",139,139,16.22,16.22,12,"AFV15","Cova da onca","C8","P","N",6.2,0,0,0,"N","15/08/2017",TRUE
"140",140,140,16.22,16.22,12,"AFV15","Cova da onca","C9","P","N",32.3,0,0,0,"N","15/08/2017",TRUE
"141",141,141,9,9,9,"AFV16a","saida","C1","N","N",0,0,0,0,"N","15/08/2017",FALSE
"142",142,142,9,9,9,"AFV16a","saida","C10","N","N",0,0,0,0,"N","15/08/2017",FALSE
"143",143,143,9,9,9,"AFV16a","saida","C2","N","N",0,0,0,0,"N","15/08/2017",FALSE
"144",144,144,9,9,9,"AFV16a","saida","C3","N","N",0,0,0,0,"N","15/08/2017",FALSE
"145",145,145,9,9,9,"AFV16a","saida","C4","N","N",0,0,0,0,"N","15/08/2017",FALSE
"146",146,146,9,9,9,"AFV16a","saida","C5","N","N",0,0,0,0,"N","15/08/2017",FALSE
"147",147,147,9,9,9,"AFV16a","saida","C6","N","N",0,0,0,0,"N","15/08/2017",FALSE
"148",148,148,9,9,9,"AFV16a","saida","C7","N","N",0,0,0,0,"N","15/08/2017",FALSE
"149",149,149,9,9,9,"AFV16a","saida","C8","N","N",0,0,0,0,"N","15/08/2017",FALSE
"150",150,150,9,9,9,"AFV16a","saida","C9","N","N",0,0,0,0,"N","15/08/2017",FALSE
"151",151,151,15.21,15.21,11,"AFV17a","Casas","C1","N","S",5.1,3,0,0,"N","15/08/2017",FALSE
"152",152,152,15.21,15.21,11,"AFV17a","Casas","C10","S","N",0.2,0,0,0,"N","15/08/2017",TRUE
"153",153,153,15.21,15.21,11,"AFV17a","Casas","C2","S","S",9,3.5,0,0,"N","15/08/2017",TRUE
"154",154,154,15.21,15.21,11,"AFV17a","Casas","C3","S","N",4,0,0,0,"N","15/08/2017",TRUE
"155",155,155,15.21,15.21,11,"AFV17a","Casas","C4","D","S",17.2,0,0,0,"N","15/08/2017",TRUE
"156",156,156,15.21,15.21,11,"AFV17a","Casas","C5","S","N",0.6,0,0,0,"N","15/08/2017",TRUE
"157",157,157,15.21,15.21,11,"AFV17a","Casas","C6","D","S",18.1,0,0,0,"N","15/08/2017",TRUE
"158",158,158,15.21,15.21,11,"AFV17a","Casas","C7","S","N",29.7,0,0,0,"N","15/08/2017",TRUE
"159",159,159,15.21,15.21,11,"AFV17a","Casas","C8","S","N",0.6,0,0,0,"N","15/08/2017",TRUE
"160",160,160,15.21,15.21,11,"AFV17a","Casas","C9","S","N",0.2,0,0,0,"N","15/08/2017",TRUE
"161",161,161,0,0,0,"AFV18","Escadaria Abaixo","C1","N","N",0,0,0,0,"N","15/08/2017",FALSE
"162",162,162,0,0,0,"AFV18","Escadaria Abaixo","C10","N","N",0,0,0,0,"N","15/08/2017",FALSE
"163",163,163,0,0,0,"AFV18","Escadaria Abaixo","C2","N","N",0,0,0,0,"N","15/08/2017",FALSE
"164",164,164,0,0,0,"AFV18","Escadaria Abaixo","C3","N","N",0,0,0,0,"N","15/08/2017",FALSE
"165",165,165,0,0,0,"AFV18","Escadaria Abaixo","C4","N","N",0,0,0,0,"N","15/08/2017",FALSE
"166",166,166,0,0,0,"AFV18","Escadaria Abaixo","C5","N","N",0,0,0,0,"N","15/08/2017",FALSE
"167",167,167,0,0,0,"AFV18","Escadaria Abaixo","C6","N","N",0,0,0,0,"N","15/08/2017",FALSE
"168",168,168,0,0,0,"AFV18","Escadaria Abaixo","C7","N","N",0,0,0,0,"N","15/08/2017",FALSE
"169",169,169,0,0,0,"AFV18","Escadaria Abaixo","C8","N","N",0,0,0,0,"N","15/08/2017",FALSE
"170",170,170,0,0,0,"AFV18","Escadaria Abaixo","C9","N","N",0,0,0,0,"N","15/08/2017",FALSE
"171",171,171,0,0,0,"AFV19","Cascatinha","C1","N","N",0,0,0,0,"N","15/08/2017",FALSE
"172",172,172,0,0,0,"AFV19","Cascatinha","C10","N","N",0,0,0,0,"N","15/08/2017",FALSE
"173",173,173,0,0,0,"AFV19","Cascatinha","C2","N","N",0,0,0,0,"N","15/08/2017",FALSE
"174",174,174,0,0,0,"AFV19","Cascatinha","C3","N","N",0,0,0,0,"N","15/08/2017",FALSE
"175",175,175,0,0,0,"AFV19","Cascatinha","C4","N","N",0,0,0,0,"N","15/08/2017",FALSE
"176",176,176,0,0,0,"AFV19","Cascatinha","C5","N","N",0,0,0,0,"N","15/08/2017",FALSE
"177",177,177,0,0,0,"AFV19","Cascatinha","C6","N","N",0,0,0,0,"N","15/08/2017",FALSE
"178",178,178,0,0,0,"AFV19","Cascatinha","C7","N","N",0,0,0,0,"N","15/08/2017",FALSE
"179",179,179,0,0,0,"AFV19","Cascatinha","C8","N","N",0,0,0,0,"N","15/08/2017",FALSE
"180",180,180,0,0,0,"AFV19","Cascatinha","C9","N","N",0,0,0,0,"N","15/08/2017",FALSE
"181",181,181,41.85,39.38,36.92,"AFV20","Grutas","C1","P","N",0,0,0,0,"N","15/08/2017",TRUE
"182",182,182,41.85,39.38,36.92,"AFV20","Grutas","C10","P","N",0,0,0,0,"N","15/08/2017",TRUE
"183",183,183,41.85,39.38,36.92,"AFV20","Grutas","C2","P","N",11.2,0,0,0,"N","15/08/2017",TRUE
"184",184,184,41.85,39.38,36.92,"AFV20","Grutas","C3","P","N",0,0,0,0,"N","15/08/2017",TRUE
"185",185,185,41.85,39.38,36.92,"AFV20","Grutas","C4","P","N",0,0,0,0,"N","15/08/2017",TRUE
"186",186,186,41.85,39.38,36.92,"AFV20","Grutas","C5","N","N",0,0,0,0,"N","15/08/2017",FALSE
"187",187,187,41.85,39.38,36.92,"AFV20","Grutas","C6","S","N",32.8,0,0,0,"N","15/08/2017",TRUE
"188",188,188,41.85,39.38,36.92,"AFV20","Grutas","C7","P","N",0,0,0,0,"N","15/08/2017",TRUE
"189",189,189,41.85,39.38,36.92,"AFV20","Grutas","C8","P","N",0,0,0,0,"N","15/08/2017",TRUE
"190",190,190,41.85,39.38,36.92,"AFV20","Grutas","C9","P","N",0,0,0,0,"N","15/08/2017",TRUE
