"","X","Trinta","Sessenta","Cento_e_vinte","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","Data","Predadas"
"55",55,21.33,18.96,18.96,"AFV07","Lago das Fadas","C8","P","N",0,0,0,0,"S","2017-08-15",TRUE
"56",56,73,65,53,"AFV08","Cercado","C1","P","N",10.1,5.5,0,0,"N","2017-08-15",TRUE
"57",57,73,65,53,"AFV08","Cercado","C10","P","N",5.9,0,0,0,"N","2017-08-15",TRUE
"58",58,73,65,53,"AFV08","Cercado","C2","P","S",57.4,0,0,0,"N","2017-08-15",TRUE
"59",59,73,65,53,"AFV08","Cercado","C3","P","N",25.2,0,0,0,"N","2017-08-15",TRUE
"60",60,73,65,53,"AFV08","Cercado","C4","P","N",7.9,0,0,0,"N","2017-08-15",TRUE
"61",61,73,65,53,"AFV08","Cercado","C6","P","N",5.9,0,0,0,"N","2017-08-15",TRUE
"62",62,73,65,53,"AFV08","Cercado","C7","P","N",11.7,0,0,0,"N","2017-08-15",TRUE
"63",63,73,65,53,"AFV08","Cercado","C8","P","N",9,0,0,0,"N","2017-08-15",TRUE
"64",64,73,65,53,"AFV08","Cercado","C9","P","N",6.1,0,0,0,"N","2017-08-15",TRUE
"65",65,41,37,36,"AFV09","Cercado Acima","C1","P","N",10.1,0,0,0,"N","2017-08-15",TRUE
"66",66,41,37,36,"AFV09","Cercado Acima","C3","P","N",7.2,0,0,0,"N","2017-08-15",TRUE
"67",67,41,37,36,"AFV09","Cercado Acima","C5","P","N",23.9,0,0,0,"N","2017-08-15",TRUE
"68",68,41,37,36,"AFV09","Cercado Acima","C9","P","N",31.7,20,8,0,"N","2017-08-15",TRUE
"69",69,38,37,34,"AFV10a","Banheira","C10","P","N",12.4,0,0,0,"N","2017-08-15",TRUE
"70",70,38,37,34,"AFV10a","Banheira","C3","P","N",12.4,0,0,0,"N","2017-08-15",TRUE
"71",71,38,37,34,"AFV10a","Banheira","C5","P","N",7.2,0,0,0,"N","2017-08-15",TRUE
"72",72,38,37,34,"AFV10a","Banheira","C6","P","N",12.4,0,0,0,"N","2017-08-15",TRUE
"73",73,38,37,34,"AFV10a","Banheira","C9","P","N",12.4,0,0,0,"N","2017-08-15",TRUE
"74",74,11.85,10.67,10.67,"AFV11","Casa do Pesquisador","C10","D","S",15.7,12,0,0,"N","2017-08-15",FALSE
"75",75,11.85,10.67,10.67,"AFV11","Casa do Pesquisador","C3","N","N",0,0,0,0,"N","2017-08-15",FALSE
"76",76,11.85,10.67,10.67,"AFV11","Casa do Pesquisador","C6","D","S",47.4,0,0,0,"N","2017-08-15",FALSE
"77",77,11.85,10.67,10.67,"AFV11","Casa do Pesquisador","C7","D","S",8.7,0,0,0,"N","2017-08-15",FALSE
"78",78,11.85,10.67,10.67,"AFV11","Casa do Pesquisador","C8","P","S",16.8,6,0,0,"N","2017-08-15",TRUE
"79",79,11.85,10.67,10.67,"AFV11","Casa do Pesquisador","C9","D","S",30.3,14,16,0,"N","2017-08-15",FALSE
"80",80,40,38,35,"AFV12","Anathema","C1","P","S",13.5,2,0,0,"N","2017-08-15",TRUE
"81",81,40,38,35,"AFV12","Anathema","C10","P","N",13.5,3.5,0,0,"N","2017-08-15",TRUE
"82",82,40,38,35,"AFV12","Anathema","C2","P","N",28,4,2,1,"N","2017-08-15",TRUE
"83",83,40,38,35,"AFV12","Anathema","C3","P","S",26,0,0,0,"N","2017-08-15",TRUE
"84",84,40,38,35,"AFV12","Anathema","C6","P","N",14.6,2,0,0,"N","2017-08-15",TRUE
"85",85,40,38,35,"AFV12","Anathema","C7","P","S",8.8,0,0,0,"N","2017-08-15",TRUE
"86",86,40,38,35,"AFV12","Anathema","C8","P","N",3.4,0.8,0.5,0,"N","2017-08-15",TRUE
"87",87,40,38,35,"AFV12","Anathema","C9","P","N",7.9,0.3,0,0,"N","2017-08-15",TRUE
"88",88,69,62,55,"AFV13","Centro de Visitantes","C1","P","N",0,0,0,0,"N","2017-08-15",TRUE
"89",89,69,62,55,"AFV13","Centro de Visitantes","C5","P","N",0,0,0,0,"N","2017-08-15",TRUE
"90",90,69,62,55,"AFV13","Centro de Visitantes","C7","P","N",0,0,0,0,"N","2017-08-15",TRUE
"91",91,16.2,16.2,12,"AFV15","Cova da onca","C10","P","N",18.3,0,0,0,"N","2017-08-15",TRUE
"92",92,16.2,16.2,12,"AFV15","Cova da onca","C2","P","N",10.6,0,0,0,"N","2017-08-15",TRUE
"93",93,16.2,16.2,12,"AFV15","Cova da onca","C7","P","N",2.8,0,0,0,"N","2017-08-15",TRUE
"94",94,16.2,16.2,12,"AFV15","Cova da onca","C8","P","N",6.2,0,0,0,"N","2017-08-15",TRUE
"95",95,16.2,16.2,12,"AFV15","Cova da onca","C9","P","N",32.3,0,0,0,"N","2017-08-15",TRUE
"96",96,9,9,9,"AFV16a","saida","C1","N","N",0,0,0,0,"N","2017-08-15",FALSE
"97",97,9,9,9,"AFV16a","saida","C10","N","N",0,0,0,0,"N","2017-08-15",FALSE
"98",98,9,9,9,"AFV16a","saida","C2","N","N",0,0,0,0,"N","2017-08-15",FALSE
"99",99,9,9,9,"AFV16a","saida","C3","N","N",0,0,0,0,"N","2017-08-15",FALSE
"100",100,9,9,9,"AFV16a","saida","C4","N","N",0,0,0,0,"N","2017-08-15",FALSE
"101",101,9,9,9,"AFV16a","saida","C5","N","N",0,0,0,0,"N","2017-08-15",FALSE
"102",102,9,9,9,"AFV16a","saida","C6","N","N",0,0,0,0,"N","2017-08-15",FALSE
"103",103,9,9,9,"AFV16a","saida","C7","N","N",0,0,0,0,"N","2017-08-15",FALSE
"104",104,9,9,9,"AFV16a","saida","C8","N","N",0,0,0,0,"N","2017-08-15",FALSE
"105",105,9,9,9,"AFV16a","saida","C9","N","N",0,0,0,0,"N","2017-08-15",FALSE
"106",106,15.2,15.2,11,"AFV17a","Casas","C1","N","S",5.1,3,0,0,"N","2017-08-15",FALSE
"107",107,15.2,15.2,11,"AFV17a","Casas","C4","D","S",17.2,0,0,0,"N","2017-08-15",FALSE
"108",108,15.2,15.2,11,"AFV17a","Casas","C6","D","S",18.1,0,0,0,"N","2017-08-15",FALSE
"109",109,0,0,0,"AFV18","Escadaria Abaixo","C1","N","N",0,0,0,0,"N","2017-08-15",FALSE
"110",110,0,0,0,"AFV18","Escadaria Abaixo","C10","N","N",0,0,0,0,"N","2017-08-15",FALSE
"111",111,0,0,0,"AFV18","Escadaria Abaixo","C2","N","N",0,0,0,0,"N","2017-08-15",FALSE
"112",112,0,0,0,"AFV18","Escadaria Abaixo","C3","N","N",0,0,0,0,"N","2017-08-15",FALSE
"113",113,0,0,0,"AFV18","Escadaria Abaixo","C4","N","N",0,0,0,0,"N","2017-08-15",FALSE
"114",114,0,0,0,"AFV18","Escadaria Abaixo","C5","N","N",0,0,0,0,"N","2017-08-15",FALSE
"115",115,0,0,0,"AFV18","Escadaria Abaixo","C6","N","N",0,0,0,0,"N","2017-08-15",FALSE
"116",116,0,0,0,"AFV18","Escadaria Abaixo","C7","N","N",0,0,0,0,"N","2017-08-15",FALSE
"117",117,0,0,0,"AFV18","Escadaria Abaixo","C8","N","N",0,0,0,0,"N","2017-08-15",FALSE
"118",118,0,0,0,"AFV18","Escadaria Abaixo","C9","N","N",0,0,0,0,"N","2017-08-15",FALSE
"119",119,0,0,0,"AFV19","Cascatinha","C1","N","N",0,0,0,0,"N","2017-08-15",FALSE
"120",120,0,0,0,"AFV19","Cascatinha","C10","N","N",0,0,0,0,"N","2017-08-15",FALSE
"121",121,0,0,0,"AFV19","Cascatinha","C2","N","N",0,0,0,0,"N","2017-08-15",FALSE
"122",122,0,0,0,"AFV19","Cascatinha","C3","N","N",0,0,0,0,"N","2017-08-15",FALSE
"123",123,0,0,0,"AFV19","Cascatinha","C4","N","N",0,0,0,0,"N","2017-08-15",FALSE
"124",124,0,0,0,"AFV19","Cascatinha","C5","N","N",0,0,0,0,"N","2017-08-15",FALSE
"125",125,0,0,0,"AFV19","Cascatinha","C6","N","N",0,0,0,0,"N","2017-08-15",FALSE
"126",126,0,0,0,"AFV19","Cascatinha","C7","N","N",0,0,0,0,"N","2017-08-15",FALSE
"127",127,0,0,0,"AFV19","Cascatinha","C8","N","N",0,0,0,0,"N","2017-08-15",FALSE
"128",128,0,0,0,"AFV19","Cascatinha","C9","N","N",0,0,0,0,"N","2017-08-15",FALSE
"129",129,41.85,39.38,36.92,"AFV20","Grutas","C1","P","N",0,0,0,0,"N","2017-08-15",TRUE
"130",130,41.85,39.38,36.92,"AFV20","Grutas","C10","P","N",0,0,0,0,"N","2017-08-15",TRUE
"131",131,41.85,39.38,36.92,"AFV20","Grutas","C2","P","N",11.2,0,0,0,"N","2017-08-15",TRUE
"132",132,41.85,39.38,36.92,"AFV20","Grutas","C3","P","N",0,0,0,0,"N","2017-08-15",TRUE
"133",133,41.85,39.38,36.92,"AFV20","Grutas","C4","P","N",0,0,0,0,"N","2017-08-15",TRUE
"134",134,41.85,39.38,36.92,"AFV20","Grutas","C5","N","N",0,0,0,0,"N","2017-08-15",FALSE
"135",135,41.85,39.38,36.92,"AFV20","Grutas","C7","P","N",0,0,0,0,"N","2017-08-15",TRUE
"136",136,41.85,39.38,36.92,"AFV20","Grutas","C8","P","N",0,0,0,0,"N","2017-08-15",TRUE
"137",137,41.85,39.38,36.92,"AFV20","Grutas","C9","P","N",0,0,0,0,"N","2017-08-15",TRUE
