"","X","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","X12","X13","Data","N","Sessenta"
"53",1345,"AFV01","Restaurante Acima","C5","D","S","12","0",0,0,"N",NA,1345,"2018/07/02",1345,17
"54",1535,"AFV01","Restaurante Acima","C5","D","S","12","0",0,0,"N",NA,1535,"2018/08/01",1535,17
"55",16,"AFV01","Restaurante Acima","C6","N","N","0","0",0,0,"N",NA,16,"2018/04/20",16,17
"56",206,"AFV01","Restaurante Acima","C6","N","N","0","0",0,0,"N",NA,206,"2018/04/24",206,17
"57",396,"AFV01","Restaurante Acima","C6","N","N","0","0",0,0,"N",NA,396,"2018/05/02",396,17
"58",586,"AFV01","Restaurante Acima","C6","N","N","0","0",0,0,"N",NA,586,"2018/05/09",586,17
"59",776,"AFV01","Restaurante Acima","C6","N","N","0","0",0,0,"N",NA,776,"2018/05/16",776,17
"60",966,"AFV01","Restaurante Acima","C6","N","N","0","0",0,0,"N",NA,966,"2018/05/30",966,17
"61",1156,"AFV01","Restaurante Acima","C6","S","N","8.7","0",0,0,"S",NA,1156,"2018/06/14",1156,17
"62",1346,"AFV01","Restaurante Acima","C6","S","N","8.7","0",0,0,"N",NA,1346,"2018/07/02",1346,17
"63",1536,"AFV01","Restaurante Acima","C6","S","N","8.7","0",0,0,"N",NA,1536,"2018/08/01",1536,17
"64",17,"AFV01","Restaurante Acima","C7","N","N","0","0",0,0,"N",NA,17,"2018/04/20",17,17
"65",207,"AFV01","Restaurante Acima","C7","N","N","0","0",0,0,"N",NA,207,"2018/04/24",207,17
"66",397,"AFV01","Restaurante Acima","C7","N","N","0","0",0,0,"N",NA,397,"2018/05/02",397,17
"67",587,"AFV01","Restaurante Acima","C7","N","N","0","0",0,0,"N",NA,587,"2018/05/09",587,17
"68",777,"AFV01","Restaurante Acima","C7","N","N","0","0",0,0,"N",NA,777,"2018/05/16",777,17
"69",967,"AFV01","Restaurante Acima","C7","N","N","0","0",0,0,"N",NA,967,"2018/05/30",967,17
"70",1157,"AFV01","Restaurante Acima","C7","N","N","12","0",0,0,"N",NA,1157,"2018/06/14",1157,17
"71",1347,"AFV01","Restaurante Acima","C7","N","N","12","0",0,0,"N",NA,1347,"2018/07/02",1347,17
"72",1537,"AFV01","Restaurante Acima","C7","N","N","12","0",0,0,"N",NA,1537,"2018/08/01",1537,17
"73",18,"AFV01","Restaurante Acima","C8","N","N","0","0",0,0,"N",NA,18,"2018/04/20",18,17
"74",208,"AFV01","Restaurante Acima","C8","N","N","0","0",0,0,"N",NA,208,"2018/04/24",208,17
"75",398,"AFV01","Restaurante Acima","C8","N","N","0","0",0,0,"N",NA,398,"2018/05/02",398,17
"76",588,"AFV01","Restaurante Acima","C8","N","N","0","0",0,0,"N",NA,588,"2018/05/09",588,17
"77",778,"AFV01","Restaurante Acima","C8","N","N","0","0",0,0,"N",NA,778,"2018/05/16",778,17
"78",968,"AFV01","Restaurante Acima","C8","N","N","0","0",0,0,"N",NA,968,"2018/05/30",968,17
"79",1158,"AFV01","Restaurante Acima","C8","N","N","0","0",0,0,"N",NA,1158,"2018/06/14",1158,17
"80",1348,"AFV01","Restaurante Acima","C8","N","N","0","0",0,0,"N",NA,1348,"2018/07/02",1348,17
"81",1538,"AFV01","Restaurante Acima","C8","N","N","0","0",0,0,"N",NA,1538,"2018/08/01",1538,17
"82",19,"AFV01","Restaurante Acima","C9","N","N","0","0",0,0,"N",NA,19,"2018/04/20",19,17
"83",209,"AFV01","Restaurante Acima","C9","N","N","0","0",0,0,"N",NA,209,"2018/04/24",209,17
"84",399,"AFV01","Restaurante Acima","C9","N","N","0","0",0,0,"N",NA,399,"2018/05/02",399,17
"85",589,"AFV01","Restaurante Acima","C9","D","S","17","0",0,0,"S",NA,589,"2018/05/09",589,17
"86",779,"AFV01","Restaurante Acima","C9","D","N","17","0",0,0,"N",NA,779,"2018/05/16",779,17
"87",969,"AFV01","Restaurante Acima","C9","D","N","17","0",0,0,"N",NA,969,"2018/05/30",969,17
"88",1159,"AFV01","Restaurante Acima","C9","S","N","0","0",0,0,"S",NA,1159,"2018/06/14",1159,17
"89",1349,"AFV01","Restaurante Acima","C9","S","N","0","0",0,0,"N",NA,1349,"2018/07/02",1349,17
"90",1539,"AFV01","Restaurante Acima","C9","S","N","0","0",0,0,"N",NA,1539,"2018/08/01",1539,17
"91",101,"AFV03","Circuito Mylena","C1","N","N","0","0",0,0,"N",NA,101,"2018/04/20",101,12.85714286
"92",291,"AFV03","Circuito Mylena","C1","N","N","0","0",0,0,"N",NA,291,"2018/04/24",291,12.85714286
"93",481,"AFV03","Circuito Mylena","C1","N","N","0","0",0,0,"N",NA,481,"2018/05/02",481,12.85714286
"94",671,"AFV03","Circuito Mylena","C1","N","N","0","0",0,0,"N",NA,671,"2018/05/09",671,12.85714286
"95",861,"AFV03","Circuito Mylena","C1","N","N","0","0",0,0,"N",NA,861,"2018/05/16",861,12.85714286
"96",1051,"AFV03","Circuito Mylena","C1","S","N","0","0",0,0,"S",NA,1051,"2018/05/30",1051,12.85714286
"97",1241,"AFV03","Circuito Mylena","C1","S","N","0","0",0,0,"N",NA,1241,"2018/06/14",1241,12.85714286
"98",1431,"AFV03","Circuito Mylena","C1","S","N","0","0",0,0,"N",NA,1431,"2018/07/02",1431,12.85714286
"99",1621,"AFV03","Circuito Mylena","C1","S","N","0","0",0,0,"N",NA,1621,"2018/08/01",1621,12.85714286
"100",110,"AFV03","Circuito Mylena","C10","N","N","0","0",0,0,"N",NA,110,"2018/04/20",110,12.85714286
"101",300,"AFV03","Circuito Mylena","C10","N","N","0","0",0,0,"N",NA,300,"2018/04/24",300,12.85714286
"102",490,"AFV03","Circuito Mylena","C10","N","N","0","0",0,0,"N",NA,490,"2018/05/02",490,12.85714286
"103",680,"AFV03","Circuito Mylena","C10","N","N","0","0",0,0,"N",NA,680,"2018/05/09",680,12.85714286
"104",870,"AFV03","Circuito Mylena","C10","S","N","0","0",0,0,"S",NA,870,"2018/05/16",870,12.85714286
"105",1060,"AFV03","Circuito Mylena","C10","S","N","0","0",0,0,"N",NA,1060,"2018/05/30",1060,12.85714286
"106",1250,"AFV03","Circuito Mylena","C10","S","N","0","0",0,0,"N",NA,1250,"2018/06/14",1250,12.85714286
"107",1440,"AFV03","Circuito Mylena","C10","S","N","0","0",0,0,"N",NA,1440,"2018/07/02",1440,12.85714286
"108",1630,"AFV03","Circuito Mylena","C10","S","N","0","0",0,0,"N",NA,1630,"2018/08/01",1630,12.85714286
"109",102,"AFV03","Circuito Mylena","C2","N","N","0","0",0,0,"N",NA,102,"2018/04/20",102,12.85714286
"110",292,"AFV03","Circuito Mylena","C2","N","N","0","0",0,0,"N",NA,292,"2018/04/24",292,12.85714286
"111",482,"AFV03","Circuito Mylena","C2","N","N","0","0",0,0,"N",NA,482,"2018/05/02",482,12.85714286
"112",672,"AFV03","Circuito Mylena","C2","N","N","0","0",0,0,"N",NA,672,"2018/05/09",672,12.85714286
"113",862,"AFV03","Circuito Mylena","C2","N","N","0","0",0,0,"N",NA,862,"2018/05/16",862,12.85714286
"114",1052,"AFV03","Circuito Mylena","C2","S","N","0","0",0,0,"S",NA,1052,"2018/05/30",1052,12.85714286
"115",1242,"AFV03","Circuito Mylena","C2","S","N","0","0",0,0,"N",NA,1242,"2018/06/14",1242,12.85714286
"116",1432,"AFV03","Circuito Mylena","C2","S","N","0","0",0,0,"N",NA,1432,"2018/07/02",1432,12.85714286
