"","X","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","X12","X13","Data","Trinta","Sessenta","Cento_e_vinte"
"49",49,"AFV01","Restaurante Acima","C8","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.66,14.7,14.7
"50",50,"AFV01","Restaurante Acima","C8","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.66,14.7,14.7
"51",51,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.66,14.7,14.7
"52",52,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.66,14.7,14.7
"53",53,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N",NA,NA,"2018-05-30",17.66,14.7,14.7
"54",54,"AFV01","Restaurante Acima","C7","N","N",12,0,0,0,"N",NA,NA,"2018-08-01",17.66,14.7,14.7
"55",55,"AFV01","Restaurante Acima","C7","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",17.66,14.7,14.7
"56",56,"AFV01","Restaurante Acima","C7","N","N",12,0,0,0,"N",NA,NA,"2018-07-02",17.66,14.7,14.7
"57",57,"AFV01","Restaurante Acima","C7","N","N",0,0,0,0,"N",NA,NA,"2018-05-09",17.66,14.7,14.7
"58",58,"AFV01","Restaurante Acima","C7","N","N",12,0,0,0,"N",NA,NA,"2018-06-14",17.66,14.7,14.7
"59",59,"AFV01","Restaurante Acima","C7","N","N",0,0,0,0,"N",NA,NA,"2018-05-16",17.66,14.7,14.7
"60",60,"AFV01","Restaurante Acima","C7","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.66,14.7,14.7
"61",61,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N",NA,NA,"2018-08-01",17.66,14.7,14.7
"62",62,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N",NA,NA,"2018-05-09",17.66,14.7,14.7
"63",63,"AFV01","Restaurante Acima","C3","N","N",12,0,0,0,"N",NA,NA,"2018-06-14",17.66,14.7,14.7
"64",64,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N",NA,NA,"2018-05-16",17.66,14.7,14.7
"65",65,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.66,14.7,14.7
"66",66,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.66,14.7,14.7
"67",67,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N",NA,NA,"2018-05-30",17.66,14.7,14.7
"68",68,"AFV01","Restaurante Acima","C4","N","N",8.7,0,0,0,"N",NA,NA,"2018-08-01",17.66,14.7,14.7
"69",69,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",17.66,14.7,14.7
"70",70,"AFV01","Restaurante Acima","C4","N","N",8.7,0,0,0,"N",NA,NA,"2018-07-02",17.66,14.7,14.7
"71",71,"AFV01","Restaurante Acima","C8","N","N",0,0,0,0,"N",NA,NA,"2018-05-30",17.66,14.7,14.7
